iter	Passed	Remaining
0	17	17819
1	32	16207
2	46	15526
3	60	15026
4	74	14840
5	87	14557
6	100	14308
7	115	14282
8	129	14307
9	144	14282
10	158	14238
11	172	14205
12	187	14251
13	202	14230
14	215	14168
15	228	14064
16	243	14059
17	257	14064
18	271	14036
19	285	13997
20	299	13976
21	313	13950
22	327	13920
23	342	13944
24	358	13965
25	372	13944
26	386	13929
27	400	13913
28	414	13872
29	427	13831
30	443	13850
31	457	13833
32	471	13813
33	485	13787
34	499	13774
35	514	13770
36	527	13739
37	542	13731
38	556	13702
39	570	13688
40	584	13682
41	598	13658
42	612	13624
43	625	13587
44	639	13571
45	653	13554
46	667	13533
47	682	13534
48	696	13511
49	710	13504
50	723	13465
51	737	13447
52	751	13419
53	765	13412
54	779	13393
55	794	13385
56	807	13363
57	821	13343
58	835	13324
59	849	13306
60	863	13296
61	876	13266
62	890	13238
63	903	13219
64	918	13205
65	931	13181
66	944	13152
67	957	13121
68	970	13089
69	983	13062
70	996	13043
71	1009	13017
72	1022	12990
73	1036	12964
74	1048	12936
75	1062	12913
76	1076	12900
77	1089	12881
78	1103	12862
79	1116	12842
80	1129	12820
81	1143	12798
82	1156	12779
83	1170	12763
84	1183	12738
85	1197	12725
86	1211	12714
87	1225	12699
88	1239	12687
89	1254	12682
90	1267	12661
91	1281	12644
92	1295	12634
93	1309	12625
94	1323	12605
95	1337	12594
96	1350	12570
97	1365	12563
98	1379	12555
99	1393	12541
100	1407	12529
101	1421	12517
102	1434	12495
103	1447	12473
104	1461	12460
105	1475	12444
106	1489	12432
107	1503	12418
108	1516	12398
109	1530	12382
110	1544	12367
111	1558	12359
112	1573	12347
113	1591	12369
114	1605	12357
115	1619	12343
116	1633	12325
117	1646	12309
118	1660	12295
119	1674	12281
120	1688	12265
121	1703	12257
122	1717	12246
123	1730	12228
124	1744	12208
125	1757	12192
126	1771	12176
127	1785	12162
128	1799	12150
129	1812	12129
130	1826	12116
131	1839	12099
132	1853	12084
133	1868	12072
134	1881	12056
135	1896	12045
136	1909	12026
137	1923	12014
138	1937	12001
